# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
pao mo 	泡沫	c=0 d=3.30581e-09 t=11615
pao mo yang 	泡沫樣	c=1 d=3.32238e-08 t=11615
pei yang 	培養	c=0 d=0.029671 t=11615
pei zhi 	配置	c=1 d=6.77287e-05 t=11615
pen bu 	盆部	c=1 d=4.04116e-18 t=11615
pen qiang 	盆腔	c=1 d=3.98099e-18 t=11615
pen she 	噴射	c=1 d=0.196912 t=11615
pen she xing 	噴射性	c=1 d=2.2846e-14 t=11615
peng zhuang 	碰撞	c=1 d=1.98614e-14 t=11615
pi fu 	皮膚	c=1 d=1.30162e-13 t=11615
pi pei 	匹配	c=1 d=5.40825e-05 t=11615
pi zhi 	皮質	c=0 d=8.4467e-16 t=11615
pi zhi ji su 	皮質激素	c=1 d=8.48904e-15 t=11615
pian 	偏	c=1 d=0.0702988 t=11615
pian 	片	c=1 d=0.00016656 t=11615
pian duan 	片段	c=1 d=2.58167e-11 t=11615
pin 	拼	c=2 d=0.892454 t=11615
pin 	頻	c=1 d=1.22602e-15 t=11615
pin lv 	頻率	c=2 d=1.22762e-15 t=11615
pin xie 	貧血	c=1 d=5.23932e-14 t=11615
pin xue 	貧血	c=4 d=2.60569e-09 t=11615
pin xue deng 	貧血等	c=1 d=1.40299e-13 t=11615
pin yin 	拼音	c=1 d=0.946485 t=11615
ping 	屏	c=1 d=0.00937227 t=11615
ping 	平	c=3 d=0.00891092 t=11615
ping bi 	屏蔽	c=1 d=1.61855e-18 t=11615
ping fang 	平方	c=1 d=1.69305e-18 t=11615
ping gu 	評估	c=1 d=1.13763e-17 t=11615
ping guo 	蘋果	c=4 d=0.0300072 t=11615
ping heng 	平衡	c=2 d=1.06613e-19 t=11615
ping hua ji 	平滑肌	c=1 d=0.00319873 t=11615
ping jia 	評價	c=1 d=1.84231e-12 t=11615
ping jun 	平均	c=1 d=3.82463e-20 t=11615
ping jun wei 	平均爲	c=1 d=2.02137e-15 t=11615
ping jun wen tai 	平均穩態	c=1 d=2.59011e-20 t=11615
ping jun zhi 	平均值	c=2 d=5.68017e-15 t=11615
ping mian 	平面	c=4 d=7.54457e-16 t=11615
ping mian xing 	平面型	c=1 d=5.83542e-17 t=11615
ping mu 	屏幕	c=2 d=0.0174851 t=11615
ping sao 	平掃	c=1 d=4.1851e-18 t=11615
ping shang 	屏上	c=1 d=2.70887e-18 t=11615
ping tan 	平坦	c=1 d=3.04377e-07 t=11615
ping zhang 	屏障	c=4 d=3.44761 t=11615
po huai 	破壞	c=5 d=0.129995 t=11615
po huai de 	破壞的	c=1 d=0.0871609 t=11615
po huai qi 	破壞其	c=1 d=0.0428521 t=11615
po lie yin 	破裂音	c=1 d=0.767206 t=11615
pu 	脯	c=1 d=1.36735e-14 t=11615
pu 	譜	c=1 d=2.11988e-16 t=11615
pu an xian an 	脯氨酰胺	c=1 d=1.26642e-14 t=11615
pu bian 	普遍	c=1 d=8.1773e-16 t=11615
pu cha 	普查	c=1 d=0.0231676 t=11615
pu luo 	撲落	c=1 d=0.000349153 t=11615
pu tao tang 	葡萄糖	c=10 d=0.239685 t=11615
pu tong 	普通	c=1 d=4.59109e-19 t=11615
qi 	其	c=11 d=0.399707 t=11615
qi 	期	c=16 d=0.0443593 t=11615
qi 	氣	c=20 d=2.00564 t=11615
qi 	起	c=0 d=1.3387e-21 t=11615
qi 	齊	c=0 d=1.27806e-05 t=11615
qi bing 	起病	c=1 d=0.00117675 t=11615
qi ce liang 	期測量	c=1 d=2.13566e-15 t=11615
qi ci 	其次	c=2 d=4.13107e-09 t=11615
qi dao 	氣道	c=8 d=0.12481 t=11615
qi dao 	起到	c=2 d=0.0120342 t=11615
qi dao zu li 	氣道阻力	c=1 d=4.76125e-06 t=11615
qi dong 	啓動	c=7 d=0.000437372 t=11615
qi dong na me kuai 	啓動那麼快	c=1 d=1.73084e-13 t=11615
qi fu 	起伏	c=1 d=5.30657e-17 t=11615
qi guai de 	奇怪的	c=1 d=0.0115047 t=11615
qi guan 	器官	c=6 d=0.659112 t=11615
qi guan 	氣管	c=3 d=0.326828 t=11615
qi ju 	器具	c=1 d=0.062662 t=11615
qi mai 	奇脈	c=7 d=0.0613163 t=11615
qi nei bu 	其內部	c=1 d=0.00013776 t=11615
qi pao 	氣泡	c=1 d=0.763379 t=11615
qi shi 	憩室	c=2 d=0.0770384 t=11615
qi ta 	其他	c=16 d=0.315133 t=11615
qi ti 	氣體	c=1 d=2.74934e-16 t=11615
qi wei 	其爲	c=1 d=0.148823 t=11615
qi xiao 	起效	c=2 d=1.62197e-05 t=11615
qi xie 	器械	c=1 d=0.0356146 t=11615
qi xiong 	氣胸	c=17 d=7.39014 t=11615
qi xiong xian 	氣胸線	c=1 d=0.822835 t=11615
qi zhi xing 	器質性	c=7 d=0.000352662 t=11615
qi zhong 	其中	c=1 d=0.00115345 t=11615
qian 	前	c=11 d=0.0275748 t=11615
qian bi 	前臂	c=1 d=5.70413e-14 t=11615
qian fang 	前方	c=1 d=6.2252e-13 t=11615
qian fu he 	前負荷	c=3 d=0.084163 t=11615
qian jiao yuan 	前膠原	c=2 d=4.07341e-12 t=11615
qian jing 	前景	c=1 d=1.57291e-05 t=11615
qian la 	牽拉	c=2 d=0.006346 t=11615
qian qing 	前清	c=1 d=6.28777e-13 t=11615
qian shen 	淺深	c=1 d=8.61881e-17 t=11615
qian shen 	牽伸	c=1 d=8.44814e-17 t=11615
qian xiong 	前胸	c=0 d=4.37252e-05 t=11615
qian xiong bi 	前胸壁	c=1 d=0.000439444 t=11615
qian yin 	牽引	c=1 d=0.00334597 t=11615
qian zai 	潛在	c=1 d=0.0593087 t=11615
qian zhe 	前者	c=1 d=5.13557e-14 t=11615
qiang 	強	c=0 d=5.22757e-18 t=11615
qiang 	腔	c=2 d=0.960789 t=11615
qiang du 	強度	c=1 d=1.0788e-10 t=11615
qiang ji 	槍擊	c=2 d=0.000789432 t=11615
qiang ji 	羥基	c=1 d=4.77683e-15 t=11615
qiang ji yin 	槍擊音	c=1 d=1.44572e-13 t=11615
qiang ruo 	強弱	c=4 d=0.00226541 t=11615
qiang xin 	強心	c=2 d=0.174758 t=11615
qiang zhi 	強制	c=2 d=0.0101347 t=11615
qiao bu si 	喬布斯	c=1 d=0.00460782 t=11615
qie 	且	c=5 d=0.0241131 t=11615
qie ge 	切割	c=1 d=2.01581e-12 t=11615
qie huan 	切換	c=8 d=0.000541211 t=11615
qie kai shu 	切開術	c=1 d=5.38219e-07 t=11615
qie mian 	切面	c=2 d=0.0126918 t=11615
qin 	嗪	c=1 d=0.377192 t=11615
qin 	親	c=0 d=0.0831104 t=11615
qin he 	親和	c=1 d=0.351692 t=11615
qin he li 	親和力	c=3 d=1.37316 t=11615
qin zhi lei 	親酯類	c=1 d=0.83527 t=11615
qin zhi xing 	親脂性	c=1 d=1.26706e-20 t=11615
qing 	氫	c=0 d=0.0117655 t=11615
qing 	清	c=3 d=0.144375 t=11615
qing 	請	c=0 d=0.00148464 t=11615
qing chu 	清除	c=5 d=4.00432e-12 t=11615
qing chu lv 	清除率	c=1 d=6.33456e-12 t=11615
qing dan bai 	清蛋白	c=7 d=8.86722e-11 t=11615
qing dan bai 	請蛋白	c=2 d=0.0303731 t=11615
qing du 	輕度	c=4 d=0.0432828 t=11615
qing du sheng gao 	輕度升高	c=1 d=1.33112e-12 t=11615
qing fang 	輕紡	c=1 d=8.72499e-14 t=11615
qing jie 	清潔	c=0 d=0.0054204 t=11615
qing jie gan zao 	清潔乾燥	c=1 d=0.0544757 t=11615
qing kuang 	情況	c=2 d=0.0374642 t=11615
qing kuang xia 	情況下	c=1 d=0.00324708 t=11615
qing mei su 	青黴素	c=3 d=0.000518754 t=11615
qing nian 	青年	c=1 d=3.19265e-10 t=11615
qing shao nian 	青少年	c=3 d=0.0100936 t=11615
qing xi 	清晰	c=4 d=0.122456 t=11615
qing xing 	清醒	c=1 d=0.00144449 t=11615
qing ya 	清雅	c=1 d=1.16022e-13 t=11615
qing ya 	輕壓	c=2 d=2.3855e-13 t=11615
qing yu 	輕於	c=1 d=1.47062e-08 t=11615
qing zhong 	輕重	c=1 d=0.000302025 t=11615
qiu 	巰	c=1 d=4.23666e-15 t=11615
qiu dan bai 	球蛋白	c=2 d=0.540641 t=11615
qiu guan 	球管	c=1 d=3.08494e-18 t=11615
qiu jun 	球菌	c=2 d=0.000211509 t=11615
qiu nang 	球囊	c=1 d=4.71468e-08 t=11615
qu 	區	c=15 d=0.00326374 t=11615
qu 	去	c=2 d=0.000153391 t=11615
qu 	取	c=1 d=0.00210172 t=11615
qu chu 	祛除	c=1 d=0.00748391 t=11615
qu dai 	取代	c=2 d=0.232236 t=11615
qu de 	取得	c=1 d=5.7933e-20 t=11615
qu jue yu 	取決於	c=5 d=0.840895 t=11615
qu mian 	曲面	c=1 d=1.10116e-16 t=11615
qu shi 	趨勢	c=1 d=5.17467e-15 t=11615
qu xian 	曲線	c=2 d=3.13172e-17 t=11615
qu xian xia 	曲線下	c=1 d=8.0181e-20 t=11615
qu xian xing 	曲線性	c=1 d=3.4615e-20 t=11615
qu xiang 	趨向	c=1 d=7.21644e-16 t=11615
qu yu 	區域	c=3 d=0.000153605 t=11615
quan 	全	c=3 d=0.00019549 t=11615
quan bu 	全部	c=3 d=1.24611e-12 t=11615
quan cheng 	全程	c=1 d=0.343009 t=11615
quan gu tong 	醛固酮	c=2 d=2.06196e-08 t=11615
quan ju 	全局	c=2 d=0.000176757 t=11615
quan mao 	全貌	c=1 d=3.81308e-11 t=11615
quan ping 	全屏	c=5 d=0.000781021 t=11615
quan shen 	全身	c=1 d=9.7362e-10 t=11615
quan shen xing 	全身性	c=1 d=2.61481e-14 t=11615
quan suan 	醛酸	c=7 d=4.66154e-12 t=11615
quan xin 	全心	c=1 d=7.79331e-09 t=11615
quan zi 	全資	c=1 d=1.86437e-05 t=11615
que 	缺	c=1 d=6.44365e-07 t=11615
que dian 	缺點	c=2 d=8.12959e-06 t=11615
que dian shi 	缺點是	c=1 d=2.20145e-19 t=11615
que ding 	確定	c=1 d=4.42865e-07 t=11615
que fa 	缺乏	c=3 d=3.62711e-11 t=11615
que qie 	確切	c=1 d=7.60607e-17 t=11615
que shi 	確實	c=1 d=3.14458e-08 t=11615
que sun 	缺損	c=1 d=2.34244e-14 t=11615
que xian 	缺陷	c=1 d=0.00278085 t=11615
que xue 	缺血	c=1 d=1.05055e-09 t=11615
que xue xing 	缺血型	c=1 d=1.10897e-11 t=11615
que xue xing 	缺血性	c=2 d=2.27376e-11 t=11615
que yang 	缺氧	c=3 d=0.0812682 t=11615
que zhen 	確診	c=1 d=4.17075e-07 t=11615
qun 	羣	c=1 d=0.364219 t=11615
ran 	染	c=1 d=0.205975 t=11615
ran hou 	然後	c=1 d=2.83895e-11 t=11615
rao she 	繞射	c=2 d=4.49071e-16 t=11615
re sou 	熱搜	c=1 d=3.51812e-05 t=11615
re tui 	熱退	c=2 d=0.00109025 t=11615
ren 	人	c=1 d=0.00166156 t=11615
ren gong 	人工	c=2 d=2.35581e-18 t=11615
ren gong dui bi 	人工對比	c=1 d=1.14629e-18 t=11615
ren he 	任何	c=2 d=0.249075 t=11615
ren lei 	人類	c=2 d=0.474145 t=11615
ren shen 	妊娠	c=2 d=1.30083e-05 t=11615
ren ti 	人體	c=8 d=1.09739e-16 t=11615
ren ti zu zhi 	人體組織	c=1 d=2.36067e-17 t=11615
ren wei 	人爲	c=1 d=1.31855e-18 t=11615
ren wei 	認爲	c=1 d=1.31197e-18 t=11615
ren wu 	任務	c=1 d=4.34022e-05 t=11615
ren yi 	任意	c=3 d=4.79615e-18 t=11615
reng 	仍	c=1 d=1.2891e-17 t=11615
ri chang 	日常	c=3 d=4.16177e-08 t=11615
rong 	溶	c=1 d=8.90428e-18 t=11615
rong du 	溶度	c=0 d=2.79859e-20 t=11615
rong ji 	容積	c=10 d=1.45975e-09 t=11615
rong jie du 	溶解度	c=1 d=3.5565e-15 t=11615
rong liang 	容量	c=5 d=0.295133 t=11615
rong mao 	絨毛	c=1 d=0.00941925 t=11615
rong qi 	容器	c=4 d=0.285261 t=11615
rong xue 	溶血	c=0 d=8.61587e-14 t=11615
rong xue xing 	溶血性	c=1 d=8.65906e-13 t=11615
rong ye 	溶液	c=1 d=5.15332e-15 t=11615
rong ye zhong 	溶液中	c=1 d=6.67772e-15 t=11615
rong yi 	容易	c=5 d=3.02502 t=11615
rong zhi 	溶質	c=1 d=4.95446e-13 t=11615
rou he 	柔和	c=1 d=3.72919e-14 t=11615
rou ruan 	柔軟	c=0 d=1.30498e-15 t=11615
ru 	入	c=3 d=0.000946646 t=11615
ru 	如	c=13 d=0.645573 t=11615
ru gan 	入肝	c=1 d=1.52352e-12 t=11615
ru guo 	如果	c=8 d=0.015654 t=11615
ru he 	如何	c=5 d=0.941812 t=11615
ru she 	入射	c=8 d=3.50201e-15 t=11615
ru shou 	入手	c=1 d=3.75439e-05 t=11615
ru suan 	乳酸	c=1 d=0.0685632 t=11615
ru xian 	乳腺	c=3 d=2.13454e-18 t=11615
ru xue 	入血	c=1 d=9.56974e-13 t=11615
ruan 	軟	c=1 d=6.19732e-19 t=11615
ruan gu 	軟骨	c=2 d=0.00382958 t=11615
ruan jian 	軟件	c=4 d=1.95998e-05 t=11615
ruan zu zhi 	軟組織	c=4 d=1.04074e-15 t=11615
rui hua 	銳化	c=1 d=3.17122e-19 t=11615
ruo 	若	c=2 d=0.000493001 t=11615
ruo gan 	若干	c=1 d=4.48339e-13 t=11615
ruo gan ge 	若干個	c=1 d=3.94205e-20 t=11615
ruo gan hao sheng 	若干毫升	c=1 d=3.53816e-13 t=11615
ruo suan 	弱酸	c=0 d=0.0666977 t=11615
ruo suan xing 	弱酸性	c=2 d=0.67032 t=11615
sa 	撒	c=0 d=0.00404359 t=11615
sa da sa da sa dan sa da sa da shi da sa da 	撒搭撒打撒旦撒搭撒打時搭撒打	c=1 d=0.0135686 t=11615
sa dan 	撒旦	c=0 d=1.5059e-05 t=11615
sa sa 	灑灑	c=0 d=0.00135686 t=11615
sa si 	薩斯	c=0 d=0.00135686 t=11615
sai 	塞	c=2 d=3.645e-07 t=11615
sai qin 	噻嗪	c=1 d=2.06579e-06 t=11615
san 	三	c=7 d=0.00605363 t=11615
san bei 	三倍	c=1 d=1.44547e-11 t=11615
san ceng 	三層	c=1 d=0.00141589 t=11615
san da 	三大	c=3 d=0.44635 t=11615
san dai 	三代	c=1 d=0.000150733 t=11615
san ge 	三個	c=2 d=5.43999e-15 t=11615
san jian ban 	三尖瓣	c=3 d=0.00344787 t=11615
san jiao 	三角	c=1 d=2.1992e-07 t=11615
san jiao xing 	三角形	c=1 d=1.18591e-06 t=11615
san lei 	三類	c=1 d=3.05113e-06 t=11615
san lian 	三聯	c=2 d=0.000303539 t=11615
san qi 	三期	c=1 d=5.73468e-18 t=11615
san she 	散射	c=6 d=3.53312e-15 t=11615
san she dian 	散射點	c=1 d=1.21697e-16 t=11615
san tai 	三肽	c=1 d=9.52363e-15 t=11615
san tong 	三酮	c=1 d=7.03191e-15 t=11615
san xiang 	三項	c=1 d=1.54733e-18 t=11615
san yin 	三音	c=1 d=0.0184221 t=11615
san yin lv 	三音律	c=2 d=0.387748 t=11615
san zhong 	三種	c=1 d=3.85336e-17 t=11615
sao 	掃	c=1 d=6.24344e-18 t=11615
sao miao 	掃描	c=19 d=1.06929e-16 t=11615
se 	色	c=0 d=0.0132655 t=11615
se an suan 	色氨酸	c=2 d=1.20244e-14 t=11615
se su 	色素	c=1 d=4.92482e-21 t=11615
shai cha 	篩查	c=6 d=0.147753 t=11615
shai jian 	篩檢	c=0 d=5.77441e-12 t=11615
shai jian jian cha 	篩檢檢查	c=1 d=5.80335e-11 t=11615
shan 	疝	c=1 d=0.0385808 t=11615
shan chu 	刪除	c=1 d=6.87523e-05 t=11615
shan guang 	閃光	c=4 d=0.000615919 t=11615
shang 	上	c=22 d=0.136695 t=11615
shang 	傷	c=1 d=0.373439 t=11615
shang 	尚	c=0 d=1.30498e-15 t=11615
shang ke 	上課	c=1 d=1.99711e-20 t=11615
shang ke 	尚可	c=1 d=2.00712e-20 t=11615
shang mian 	上面	c=1 d=2.57544e-12 t=11615
shang pi 	上皮	c=0 d=1.45747e-21 t=11615
shang qiao 	上翹	c=1 d=0.066205 t=11615
shang rou ruan 	尚柔軟	c=1 d=1.31153e-14 t=11615
shang sheng 	上升	c=0 d=4.2985e-10 t=11615
shang shu 	上述	c=1 d=0.00360656 t=11615
shang wu 	尚無	c=1 d=3.70038e-11 t=11615
shang zhi 	上肢	c=2 d=0.000163262 t=11615
shao 	少	c=1 d=5.40164e-20 t=11615
shao 	稍	c=1 d=4.62368e-14 t=11615
shao jia 	稍加	c=0 d=9.93627e-15 t=11615
shao jia ya li 	稍加壓力	c=1 d=9.98607e-14 t=11615
shao liang 	少量	c=1 d=0.70822 t=11615
shao niao 	少尿	c=3 d=5.55487e-09 t=11615
shao ping 	燒瓶	c=1 d=2.21023e-07 t=11615
shao shang 	燒傷	c=0 d=4.66936e-13 t=11615
shao shu 	少數	c=0 d=2.3481e-14 t=11615
shao shu qing kuang 	少數情況	c=1 d=2.35987e-13 t=11615
shao yu 	少於	c=2 d=0.00469314 t=11615
she 	攝	c=0 d=2.20145e-20 t=11615
she bei 	設備	c=9 d=4.42443e-18 t=11615
she ji 	設計	c=2 d=3.21705e-11 t=11615
she pian 	攝片	c=2 d=7.8081e-19 t=11615
she pian tiao jian 	攝片條件	c=1 d=2.21249e-19 t=11615
she qiang 	射槍	c=1 d=9.21831e-14 t=11615
she qu 	攝取	c=2 d=0.000100034 t=11615
she qu 	社區	c=1 d=0.000119762 t=11615
she ru 	攝入	c=3 d=1.76084e-05 t=11615
she xiang 	設想	c=1 d=9.0857e-20 t=11615
she xue 	射血	c=1 d=1.17431e-08 t=11615
she ying 	攝影	c=1 d=4.75462e-19 t=11615
she zhi 	設置	c=7 d=0.000774384 t=11615
shen 	深	c=1 d=0.00457389 t=11615
shen 	腎	c=20 d=3.75285e-06 t=11615
shen chu 	深處	c=1 d=0.0471227 t=11615
shen chu 	滲出	c=5 d=0.00190354 t=11615
shen chu liang 	滲出量	c=1 d=2.10243e-07 t=11615
shen chu xing 	滲出性	c=3 d=0.465959 t=11615
shen dong mai 	腎動脈	c=1 d=1.32039e-05 t=11615
shen du 	深度	c=1 d=7.68382e-19 t=11615
shen gong neng 	腎功能	c=5 d=2.73891e-06 t=11615
shen jing 	神經	c=8 d=0.200968 t=11615
shen lou 	滲漏	c=1 d=0.0555762 t=11615
shen me 	什麼	c=10 d=2.88528 t=11615
shen pai xie 	腎排泄	c=1 d=9.15488e-21 t=11615
shen qi de 	神奇的	c=0 d=0.00110536 t=11615
shen qian 	深淺	c=1 d=8.81418e-16 t=11615
shen qian 	腎前	c=1 d=5.65911e-09 t=11615
shen shang xian 	腎上腺	c=1 d=8.4467e-15 t=11615
shen shuai jie 	腎衰竭	c=8 d=5.68139e-11 t=11615
shen shuai jie qi 	腎衰竭期	c=1 d=6.86215e-12 t=11615
shen xi qi 	深吸氣	c=2 d=0.00867996 t=11615
shen xiao guan 	腎小管	c=6 d=1.01253e-12 t=11615
shen xiao qiu 	腎小球	c=7 d=1.61654e-11 t=11615
shen xing 	腎性	c=1 d=5.74463e-09 t=11615
shen yan 	腎炎	c=3 d=1.10195e-11 t=11615
shen yu 	腎盂	c=1 d=3.65473e-12 t=11615
shen zang 	腎臟	c=3 d=0.117068 t=11615
shen zhi 	神志	c=0 d=3.4753e-09 t=11615
shen zhi mo hu 	神志模糊	c=1 d=3.49272e-08 t=11615
sheng 	昇	c=0 d=2.75552e-14 t=11615
sheng 	生	c=5 d=0.119428 t=11615
sheng 	聲	c=10 d=4.39363e-15 t=11615
sheng bo 	聲波	c=4 d=2.43176e-16 t=11615
sheng bo zai 	聲波在	c=1 d=2.51271e-16 t=11615
sheng chan li 	生產力	c=1 d=1.63821e-13 t=11615
sheng chang 	聲場	c=2 d=4.32039e-17 t=11615
sheng cheng 	生成	c=6 d=0.0169075 t=11615
sheng gao 	升高	c=16 d=1.64316e-06 t=11615
sheng hua 	生化	c=2 d=0.119448 t=11615
sheng huo 	生活	c=1 d=4.22285e-06 t=11615
sheng li 	生理	c=8 d=0.666778 t=11615
sheng li xing 	生理性	c=4 d=0.000692402 t=11615
sheng li zuo yong 	生理作用	c=1 d=0.0977834 t=11615
sheng qiang chu 	聲強處	c=1 d=7.30783e-17 t=11615
sheng qiang gao di 	聲強高低	c=1 d=5.25377e-17 t=11615
sheng shu 	聲束	c=22 d=7.22097e-15 t=11615
sheng shu bian yuan 	聲束邊緣	c=1 d=6.76229e-16 t=11615
sheng su 	聲速	c=3 d=1.55214e-15 t=11615
sheng wu 	生物	c=3 d=5.8482e-15 t=11615
sheng wu tai 	生物肽	c=1 d=2.5441e-15 t=11615
sheng xiang 	聲像	c=0 d=8.72647e-17 t=11615
sheng xiang tu 	聲像圖	c=1 d=8.77022e-16 t=11615
sheng xue 	聲學	c=2 d=5.38355e-17 t=11615
sheng yin 	聲音	c=6 d=0.00398587 t=11615
sheng yin lei si 	聲音類似	c=1 d=1.86114e-14 t=11615
sheng yuan 	聲源	c=6 d=2.08322e-16 t=11615
sheng zhou 	聲軸	c=1 d=4.30143e-17 t=11615
sheng zhu dong mai 	昇主動脈	c=1 d=2.76933e-13 t=11615
shi 	使	c=4 d=0.0936932 t=11615
shi 	室	c=9 d=0.0137274 t=11615
shi 	式	c=2 d=0.000113802 t=11615
shi 	是	c=43 d=1.38635 t=11615
shi 	時	c=73 d=1.28202 t=11615
shi 	氏	c=1 d=8.19428e-11 t=11615
shi 	溼	c=0 d=3.89885e-09 t=11615
shi 	試	c=1 d=1.95152e-13 t=11615
shi bai 	失敗	c=1 d=5.43628e-07 t=11615
shi bi 	室壁	c=1 d=1.99609e-14 t=11615
shi bi zhen dong 	室壁振動	c=1 d=1.71805e-14 t=11615
shi bian 	實變	c=2 d=0.267523 t=11615
shi bu shi 	是不是	c=1 d=6.72398e-08 t=11615
shi chang 	失常	c=6 d=0.090718 t=11615
shi da da 	溼答答	c=0 d=0.0218712 t=11615
shi da sa da 	是搭撒打	c=1 d=3.02807e-05 t=11615
shi dai 	時代	c=1 d=0.00463092 t=11615
shi de 	使得	c=3 d=0.400517 t=11615
shi er zhi chang 	十二指腸	c=2 d=0.0378169 t=11615
shi fang 	釋放	c=2 d=0.00875977 t=11615
shi fang de 	釋放的	c=1 d=0.0880368 t=11615
shi fen 	十分	c=3 d=7.94891e-16 t=11615
shi fou 	是否	c=1 d=0.0338776 t=11615
shi guan 	食管	c=2 d=0.0389686 t=11615
shi ji 	世紀	c=1 d=0.479505 t=11615
shi jian 	事件	c=1 d=2.73423e-10 t=11615
shi jian 	時間	c=13 d=0.0131932 t=11615
shi jian fang hu 	時間防護	c=1 d=1.75336e-18 t=11615
shi jian ge 	室間隔	c=3 d=2.17004e-06 t=11615
shi jian nei 	時間內	c=0 d=3.48548e-14 t=11615
shi jie 	世界	c=1 d=7.12376e-11 t=11615
shi jiu 	嗜酒	c=1 d=7.10295e-06 t=11615
shi liang 	適量	c=1 d=0.344728 t=11615
shi luo yin 	溼囉音	c=3 d=0.281157 t=11615
shi mou xie yao wu 	是某些藥物	c=1 d=1.84357e-20 t=11615
shi qi 	時期	c=1 d=0.00283702 t=11615
shi qu 	失去	c=4 d=0.00256704 t=11615
shi shen me 	是什麼	c=2 d=0.0391036 t=11615
shi shi 	實時	c=2 d=3.59658e-16 t=11615
shi shi 	試試	c=1 d=0.000100535 t=11615
shi su 	室速	c=1 d=4.44087e-10 t=11615
shi tan tou 	是探頭	c=1 d=1.04223e-16 t=11615
shi tu 	視圖	c=1 d=0.00019647 t=11615
shi wei 	視爲	c=2 d=0.0590129 t=11615
shi xian 	時限	c=1 d=0.00382958 t=11615
shi xiang 	事項	c=1 d=0.0206508 t=11615
shi xiang 	時相	c=1 d=0.00286554 t=11615
shi xing 	施行	c=1 d=1.92613e-06 t=11615
shi xing 	溼性	c=1 d=3.76475e-08 t=11615
shi xue 	嗜血	c=1 d=0.000110555 t=11615
shi yan 	實驗	c=5 d=0.00770543 t=11615
shi yan 	試驗	c=18 d=0.288706 t=11615
shi yan fang fa 	實驗方法	c=1 d=3.73757e-11 t=11615
shi yan shi 	實驗室	c=9 d=0.0702443 t=11615
shi yao wu 	使藥物	c=1 d=3.91293e-21 t=11615
shi yi xia 	試一下	c=1 d=0.0131905 t=11615
shi ying zheng 	適應症	c=2 d=3.14405e-06 t=11615
shi yong 	使用	c=8 d=0.061768 t=11615
shi yong lai 	是用來	c=1 d=3.46574e-05 t=11615
shi yong yu 	適用於	c=2 d=1.39571e-05 t=11615
shi you yu 	是由於	c=1 d=4.90959e-14 t=11615
shi yu bu zhen 	食慾不振	c=1 d=8.56853e-07 t=11615
shi zhi 	使之	c=1 d=1.3931e-18 t=11615
shi zhi 	實質	c=2 d=6.06137e-18 t=11615
shi zhi 	是指	c=3 d=3.46398e-13 t=11615
shou 	受	c=3 d=6.41141e-07 t=11615
shou 	守	c=1 d=0.00114769 t=11615
shou dao 	受到	c=1 d=1.99575e-12 t=11615
shou dong 	手動	c=1 d=0.00016826 t=11615
shou duan 	手段	c=1 d=3.41472e-07 t=11615
shou ji 	手機	c=3 d=0.513226 t=11615
shou liang 	受涼	c=1 d=0.00737249 t=11615
shou rong zhi 	受溶質	c=1 d=4.58874e-13 t=11615
shou shu 	手術	c=2 d=0.00977356 t=11615
shou sun 	受損	c=2 d=1.21049e-12 t=11615
shou suo 	收縮	c=19 d=0.0123963 t=11615
shou suo li 	收縮力	c=1 d=8.5464e-06 t=11615
shou suo li 	收縮理	c=2 d=2.7409e-09 t=11615
shou suo qi 	收縮期	c=13 d=0.391861 t=11615
shou suo ya 	收縮壓	c=2 d=1.82698e-07 t=11615
shou ti 	受體	c=7 d=1.15099e-05 t=11615
shou wan 	手腕	c=1 d=5.61921e-14 t=11615
shou xian 	首先	c=1 d=1.94648e-12 t=11615
shou xing 	手性	c=1 d=2.81166e-15 t=11615
shou ya 	受壓	c=2 d=2.83831e-07 t=11615
shou zhang 	手掌	c=1 d=0.000706632 t=11615
shou zhi 	手指	c=2 d=0.000629868 t=11615
shou zu 	受阻	c=1 d=2.99224e-12 t=11615
shu 	屬	c=1 d=0.000117979 t=11615
shu 	束	c=3 d=0.15259 t=11615
shu 	術	c=0 d=1.93578e-07 t=11615
shu 	輸	c=1 d=3.41821e-19 t=11615
shu ju 	數據	c=1 d=3.18657e-17 t=11615
shu liang 	數量	c=0 d=4.61174e-14 t=11615
shu ru 	輸入	c=12 d=1.82709 t=11615
shu ru fa 	輸入法	c=7 d=1.83942 t=11615
shu shi 	屬實	c=1 d=0.00124328 t=11615
shu shui 	疏水	c=1 d=3.73884e-15 t=11615
shu yu 	屬於	c=3 d=6.57494e-09 t=11615
shu zhang 	舒張	c=21 d=0.0232528 t=11615
shu zhang gong neng 	舒張功能	c=1 d=1.22223e-08 t=11615
shu zhang mo qi 	舒張末期	c=1 d=3.43184e-07 t=11615
shu zhang qi 	舒張期	c=11 d=0.383781 t=11615
shu zhang shi yan 	舒張試驗	c=1 d=0.0352602 t=11615
shu zhang xing 	舒張性	c=1 d=5.50607e-10 t=11615
shu zhang ya 	舒張壓	c=2 d=1.87857e-06 t=11615
shu zi 	數字	c=2 d=7.71968e-19 t=11615
shu zi hua 	數字化	c=1 d=2.49457e-19 t=11615
shua xin 	刷新	c=1 d=0.000194515 t=11615
